,BCOMIN Index,,,
,#NAME?,#NAME?,#NAME?,#NAME?
Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
#NAME?,81.31,81.31,81.307,81.3074
04/01/2000,80.36,80.65,79.94,80.1822
05/01/2000,80.18,80.86,79.46,80.7709
06/01/2000,80.2,80.84,80.2,80.6783
07/01/2000,80.68,81.18,80.42,80.7415
10/01/2000,80.41,80.75,79.77,80.0735
11/01/2000,80.18,80.43,79.64,79.8283
12/01/2000,80.12,81.4,80.12,81.0555
13/01/2000,81.04,81.12,80.35,80.3933
14/01/2000,80.45,80.96,80.45,80.9193
18/01/2000,80.96,82.15,80.71,82.0712
19/01/2000,82.77,83.48,82.42,83.3951
20/01/2000,82.93,83.39,82.02,82.7052
21/01/2000,82.54,83.17,82.13,82.5525
24/01/2000,82.11,82.14,81.42,81.5024
25/01/2000,81.69,81.96,80.6,80.822
26/01/2000,81.7,81.87,80.35,80.6968
27/01/2000,80.47,81.03,80.14,80.8372
28/01/2000,81.27,81.68,80.33,80.5615
31/01/2000,80.29,81.24,80.25,81.2164
01/02/2000,81.3,81.66,80.8,81.0542
02/02/2000,80.99,80.99,79.21,79.7881
03/02/2000,80.09,80.29,79.57,80.1904
04/02/2000,79.2,80.25,79.2,80.0825
07/02/2000,80.25,80.28,79.72,79.9515
08/02/2000,79.99,79.99,79.16,79.3538
09/02/2000,79.78,80.05,79.58,79.7708
10/02/2000,80.4,81.68,80.37,81.5569
11/02/2000,82.07,82.21,81.6,81.6475
14/02/2000,81.03,81.48,80.94,81.4247
15/02/2000,81.14,81.39,79.88,80.1637
16/02/2000,79.74,80.18,79.63,80.0552
17/02/2000,80.32,80.72,79.95,80.6722
18/02/2000,80.75,81.01,80.51,80.5761
22/02/2000,80.13,80.78,80.13,80.6943
23/02/2000,80.76,81.48,80.76,81.2432
24/02/2000,81.58,81.8,81.01,81.1765
25/02/2000,80.92,81.02,80.07,80.2194
28/02/2000,78.9,78.94,76.97,77.1529
29/02/2000,77.78,77.98,76.58,77.4119
01/03/2000,78.4,79.47,78.03,79.3101
02/03/2000,78.67,78.93,78.33,78.6578
03/03/2000,78.63,78.94,77.76,78.8462
06/03/2000,78.54,79.27,78.41,79.184
07/03/2000,79.61,79.79,78.53,78.6559
08/03/2000,77.99,78.3,77.64,78.0131
09/03/2000,78.67,78.95,78.32,78.9086
10/03/2000,79,79.42,78.6,78.6994
13/03/2000,78.43,78.49,77.88,78.0869
14/03/2000,78.59,79.27,78.58,78.7809
15/03/2000,79,79.29,78.64,79.0876
16/03/2000,79.29,79.92,78.92,79.6752
17/03/2000,79.5,80.92,79.5,79.8895
20/03/2000,79.76,80.16,79.34,79.4431
21/03/2000,79.64,79.82,79.08,79.5965
22/03/2000,79.84,79.97,78.85,79.0615
23/03/2000,79.05,79.32,78.76,79.1995
24/03/2000,79.32,79.36,78.56,78.7821
27/03/2000,77.81,78.46,77.52,78.1389
28/03/2000,78.13,78.33,77.97,78.2866
29/03/2000,77.78,78.23,77.76,78.2031
30/03/2000,78.01,78.45,77.99,78.2109
31/03/2000,77.49,77.95,77.28,77.7022
03/04/2000,77.13,77.19,76.53,77.0778
04/04/2000,76.35,76.54,75.73,76.1526
05/04/2000,76.05,76.57,75.95,76.148
06/04/2000,75.44,75.44,74.3,74.4451
07/04/2000,74.18,74.33,73.68,74.1619
10/04/2000,74.61,75.2,74.21,75.1236
11/04/2000,75.4,76.09,75.32,75.9602
12/04/2000,75.52,75.86,75.18,75.7314
13/04/2000,75.06,75.46,75.01,75.2157
14/04/2000,74.42,74.44,73.44,73.5512
17/04/2000,72.51,73.47,72.51,73.1471
18/04/2000,74.07,74.4,73.63,74.2102
19/04/2000,74.57,75.09,74.41,74.741
20/04/2000,74.02,74.71,74,74.4649
24/04/2000,74.46,74.465,74.46,74.4649
25/04/2000,74.52,75.92,74.52,75.7972
26/04/2000,76.03,76.7,76.03,76.3455
27/04/2000,75.98,76.18,75.38,75.8066
28/04/2000,76.13,76.72,75.92,76.1786
01/05/2000,75.95,76.38,75.95,76.339
02/05/2000,76.05,77.7,75.99,77.4736
03/05/2000,77.22,77.39,76.26,76.538
04/05/2000,76.19,76.78,76.15,76.619
05/05/2000,77.63,77.96,77.4,77.732
08/05/2000,77.37,77.81,77.13,77.2319
09/05/2000,76.77,77.52,76.59,77.238
10/05/2000,77.78,78.08,77,77.2457
11/05/2000,76.69,77.24,76.69,77.0067
12/05/2000,78.15,78.23,77.83,78.0692
15/05/2000,78.2,78.58,78.13,78.3181
16/05/2000,79.08,79.79,79.08,79.6763
17/05/2000,79.74,79.96,79.09,79.2611
18/05/2000,79.6,80.03,79.21,79.282
19/05/2000,79.08,79.27,78.55,79.0539
22/05/2000,79.15,79.18,78.21,78.5102
23/05/2000,78.8,79.03,78.53,78.6929
24/05/2000,78.32,79.23,78.29,78.8462
25/05/2000,78.33,78.51,77.88,78.0416
26/05/2000,78.08,78.26,77.83,78.099
30/05/2000,76.55,76.58,74.84,75.1285
31/05/2000,75.06,75.44,74.49,75.2397
01/06/2000,74.86,75.63,74.81,75.3389
02/06/2000,76.11,76.47,73.95,74.0447
05/06/2000,73.8,74.49,73.61,74.4163
06/06/2000,74.76,75.15,74.33,74.4311
07/06/2000,73.9,74.08,72.47,72.9244
08/06/2000,73.27,73.86,72.95,73.8567
09/06/2000,73.72,74.04,73.39,73.9524
