Date Time,,,,Event
01/02/2000 10:00,UK,1),,Prime Minister's Question Time
01/10/2000 09:30,UK,2),,Social Security Secretary Answers Questions in Parliament
01/10/2000,UK,3),,Houses of Parliament Resume Sitting
01/11/2000 09:30,UK,4),,Transport Secretary Answers Questions in Parliament
01/12/2000 10:00,UK,5),,Prime Minister's Question Time
01/13/2000 06:00,UK,6),,Agriculture Secretary Answers Questions in Parliament
01/13/2000,UK,7),,Chancellor Gordon Brown Meets Portugal's Joaquim Pina Moura
01/17/2000 09:30,UK,8),,Home Secretary Answers Questions in Parliament
01/18/2000 09:30,UK,9),,Foreign Secretary Answers Questions in Parliament
01/18/2000 09:30,UK,10),,Trade & Industry Select Committee hears pre-budget proposals
01/18/2000 09:30,UK,11),,Treasury Select Committee hears evidence on PFI
01/19/2000 10:00,UK,12),,Prime Minister's Question Time
01/20/2000 09:30,UK,13),,Education Secretary Answers Questions in Parliament
01/24/2000 09:30,UK,14),,Defense Secretary Answers Questions in Parliament
01/25/2000 09:30,UK,15),,Scottish Secretary Answers Questions in Parliament
01/26/2000 10:00,UK,16),,Prime Minister's Question Time
01/27/2000 06:00,UK,17),,Trade & Industry Secretary Answers Questions in Parliament
01/31/2000 09:30,UK,18),,Culture Secretary Answers Questions in Parliament
02/01/2000 09:30,UK,19),,Health Secretary Answers Questions in Parliament
02/01/2000 09:30,UK,20),,International Development Select Committee hears evidence on E
02/02/2000 10:00,UK,21),,Prime Minister's Question Time
02/03/2000 06:30,UK,22),,Chancellor Answers Questions in Parliament
02/07/2000 09:30,UK,23),,Social Security Secretary Answers Questions in Parliament
02/08/2000 09:30,UK,24),,Transport Secretary Answers Questions in Parliament
02/09/2000 10:00,UK,25),,Prime Minister's Question Time
02/10/2000 06:00,UK,26),,Agriculture Secretary Answers Questions in Parliament
02/14/2000 09:30,UK,27),,Home Secretary Answers Questions in Parliament
02/15/2000 09:30,UK,28),,Foreign Secretary Answers Questions in Parliament
02/16/2000 10:00,UK,29),,Prime Minister's Question Time
02/17/2000 09:30,UK,30),,Education Secretary Answers Questions in Parliament
02/21/2000 09:30,UK,31),,Defense Secretary Answers Questions in Parliament
02/22/2000 09:30,UK,32),,Scottish Secretary Answers Questions in Parliament
02/28/2000 09:30,UK,33),,Culture Secretary Answers Questions in Parliament
02/29/2000 09:30,UK,34),,Health Secretary Answers Questions in Parliament
03/01/2000 10:00,UK,35),,Prime Minister's Question Time
03/02/2000 06:30,UK,36),,Trade and Industry Secretary Answers Questions in Parliament
03/06/2000 09:30,UK,37),,Social Security Secretary Answers Questions in Parliament
03/07/2000 09:30,UK,38),,Transport Secretary Answers Questions in Parliament
03/08/2000 10:00,UK,39),,Prime Minister's Question Time
03/09/2000 06:30,UK,40),,Chancellor Gordon Brown Answers Questions in Parliament
03/13/2000 09:30,UK,41),,Home Secretary Answers Questions in Parliament
03/14/2000 09:30,UK,42),,Foreign Secretary Answers Questions in Parliament
03/15/2000 10:00,UK,43),,Prime Minister's Question Time
03/16/2000 09:30,UK,44),,Agriculture Secretary Answers Questions in Parliament
03/20/2000 09:30,UK,45),,Defense Secretary Answers Questions in Parliament
03/21/2000,UK,46),,Chancellor Delivers Fiscal 2000 Budget in Parliament
03/22/2000 10:00,UK,47),,Prime Minister's Question Time
03/23/2000 06:30,UK,48),,Education Secretary Answers Questions in Parliament
03/28/2000 10:30,UK,49),,Health Secretary Answers Questions in Parliament
03/29/2000 11:00,UK,50),,Prime Minister's Question Time
03/30/2000 07:30,UK,51),,Trade and Industry Secretary Answers Questions in Parliament
04/03/2000 09:30,UK,52),,Social Security Secretary Answers Questions in Parliament
04/03/2000 22:15,UK,53),,Trade and Industry Secretary Speaks
04/04/2000 06:30,UK,54),,Education Secretary Answers Questions in Parliament
04/04/2000 09:30,UK,55),,Transport Secretary Answers Questions in Parliament
04/04/2000 11:15,UK,56),,Chancellor Gordon Brown gives evidence to a select committee
04/05/2000 04:00,UK,57),,London Mayoral Candidates speak on business issues
04/05/2000 05:00,UK,58),,Trade and Industry Secretary gives evidence to select committe
04/05/2000 06:00,UK,59),,Chancellor Gordon Brown speaks
04/05/2000 10:00,UK,60),,Prime Minister's Question Time
04/06/2000 06:30,UK,61),,Chancellor Gordon Brown Answers Questions in Parliament
04/10/2000 09:30,UK,62),,Home Secretary Answers Questions in Parliament
04/11/2000 02:00,UK,63),,BAA Announces March 2000 Traffic Figures
04/11/2000 09:30,UK,64),,Foreign Secretary Answers Questions in Parliament
04/12/2000 10:00,UK,65),,Prime Minister's Question Time
04/13/2000 06:00,UK,66),,Agriculture Secretary Answers Questions in Parliament
04/17/2000 09:30,UK,67),,Defense Secretary Answers Questions in Parliament
04/17/2000,UK,68),,Russian President Putin Visits London
04/18/2000 06:30,UK,69),,Chancellor Gordon Brown Answers Questions in Parliament
04/18/2000 09:30,UK,70),,Scottish Secretary Answers Questions in Parliament
04/19/2000 10:00,UK,71),,Prime Minister's Question Time
04/20/2000 06:30,UK,72),,Education Secretary Answers Questions in Parliament
05/02/2000 09:30,UK,73),,Health Secretary Answers Questions in Parliament
05/02/2000,UK,74),,Commonwealth Ministers' Meeting
05/03/2000 10:00,UK,75),,Prime Minister's Question Time
05/04/2000,UK,76),,London Mayoral Election
05/08/2000 09:30,UK,77),,Culture Secretary Answers Questions in Parliament
05/08/2000 12:30,UK,78),,Chancellor Gordon Brown Speaks at the London School of Economi
05/09/2000 09:30,UK,79),,Transport Secretary Answers Questions in Parliament
05/10/2000 10:00,UK,80),,Prime Minister's Question Time
05/10/2000 10:00,UK,81),,Bank of England inflation report
05/11/2000 06:30,UK,82),,Trade and Industry Secretary Answers Questions in Parliament
05/15/2000 02:00,UK,83),,BAA Announces April 2000 Traffic Figures
05/15/2000 09:30,UK,84),,Social Security Secretary Answers Questions in Parliament
05/16/2000 09:30,UK,85),,Foreign Secretary Answers Questions in Parliament
05/17/2000 10:00,UK,86),,Prime Minister's Question Time
05/22/2000 09:30,UK,87),,Home Secretary Answers Questions in Parliament
05/23/2000 09:30,UK,88),,Scottish Secretary Answers Questions in Parliament
05/23/2000 11:15,UK,89),,Parliamentary Committee hears testimony
05/23/2000 11:15,UK,90),,Parliamentary Committee hears Treasury testimony
05/24/2000 10:00,UK,91),,Prime Minister's Question Time
05/25/2000 09:30,UK,92),,Agriculture Secretary Answers Questions in Parliament
05/29/2000,UK,93),,Public Holiday in U.K.
06/07/2000 02:00,UK,94),,Extraordinary General Meeting: Scottish & Newcastle
06/07/2000 10:15,UK,95),,Parliamentary Committee hears NZ Reserve Bank Governor testimo
06/12/2000 02:00,UK,96),,BAA Announces May 2000 Traffic Figures
06/12/2000 09:30,UK,97),,Culture Secretary Answers Questions in Parliament
06/13/2000 05:35,UK,98),,FSA Chairman Howard Davies speaks at financial markets confere
06/13/2000 05:45,UK,99),,Parliamentary testimony on EMU
06/13/2000 09:30,UK,100),,Transport Secretary Answers Questions in Parliament
06/14/2000 10:00,UK,101),,Prime Minister's Question Time
06/15/2000 06:00,UK,102),,House of Commons Treasury Committee Budget report
06/15/2000 06:30,UK,103),,Trade and Industry Secretary Answers Questions in Parliament
06/15/2000 14:30,UK,104),,Chancellor Gordon Brown speaks
06/15/2000,EC,105),,"EU's Solbes Speaks in London, Testifies on Euro"
06/19/2000 09:30,UK,106),,Social Security Secretary Answers Questions in Parliament
06/20/2000 05:45,UK,107),,Parliamentary Committee hears EMU testimony
06/20/2000 09:30,UK,108),,Foreign Secretary Answers Questions in Parliament
06/20/2000 11:15,UK,109),,Parliamentary Committee hears trade union testimony
06/21/2000 10:00,UK,110),,Prime Minister's Question Time
06/22/2000 06:30,UK,111),,Chancellor Gordon Brown Answers Questions in Parliament
06/22/2000 07:15,UK,112),,Prime Minister Tony Blair speaks
06/26/2000 09:30,UK,113),,Home Secretary Answers Questions in Parliament
06/27/2000 09:30,UK,114),,Scottish Secretary Answers Questions in Parliament
06/27/2000 11:00,UK,115),,Parliamentary Committee hears Automotive testimony
06/27/2000 11:15,UK,116),,Parliamentary Committee hears Bank of England testimony
06/28/2000 10:00,UK,117),,Prime Minister's Question Time
06/29/2000 06:30,UK,118),,Agriculture Secretary Answers Questions in Parliament
07/03/2000 09:30,UK,119),,Defense Secretary Answers Questions in Parliament
07/03/2000 09:30,UK,120),,"Transport, Local Government, Regions Questions in Parliament"
07/04/2000 05:15,UK,121),,Parliamentary Committee hears DTI testimony
07/04/2000 09:30,UK,122),,Health Secretary Answers Questions in Parliament
07/04/2000 11:15,UK,123),,Parliamentary Committee hears Bank of England testimony
07/05/2000 04:30,UK,124),,Official Reserves (Changes)
07/05/2000 10:00,UK,125),,Prime Minister's Question Time
07/05/2000 11:15,UK,126),,Parliamentary Committee hears EU testimony
07/06/2000 06:30,UK,127),,Education Secretary Answers Questions in Parliament
07/10/2000 02:00,UK,128),,BAA Announces June 2000 Traffic Figures
