F3METL Index,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,INDX_GENERAL_EARN
#NAME?,3875.6,4140.4,3755.3,4038.1,#N/A N/A,#N/A N/A,#N/A N/A
05/01/2000,4038.1,4308.9,3947.8,4188.6,#N/A N/A,#N/A N/A,#N/A N/A
06/01/2000,4188.6,4308.9,3971.9,4092.3,#N/A N/A,#N/A N/A,#N/A N/A
07/01/2000,4092.3,4212.6,3953.9,4194.6,#N/A N/A,#N/A N/A,#N/A N/A
10/01/2000,4194.6,4212.6,3899.7,3917.7,#N/A N/A,#N/A N/A,#N/A N/A
11/01/2000,3917.7,3923.8,3550.6,3616.8,#N/A N/A,#N/A N/A,#N/A N/A
12/01/2000,3616.8,3923.8,3574.7,3905.7,#N/A N/A,#N/A N/A,#N/A N/A
13/01/2000,3905.7,3917.7,3586.8,3622.9,#N/A N/A,#N/A N/A,#N/A N/A
14/01/2000,3622.9,3689.1,3370.1,3586.8,#N/A N/A,#N/A N/A,#N/A N/A
17/01/2000,3586.8,3622.9,3454.4,3460.4,#N/A N/A,#N/A N/A,#N/A N/A
18/01/2000,3460.4,3502.5,3322,3352,#N/A N/A,#N/A N/A,#N/A N/A
19/01/2000,3352,3580.7,3352,3472.4,#N/A N/A,#N/A N/A,#N/A N/A
20/01/2000,3472.4,3502.5,3057.2,3237.7,#N/A N/A,#N/A N/A,#N/A N/A
21/01/2000,3237.7,3261.8,3189.6,3207.6,#N/A N/A,#N/A N/A,#N/A N/A
24/01/2000,3207.6,3273.8,3093.3,3117.3,#N/A N/A,#N/A N/A,#N/A N/A
25/01/2000,3117.3,3117.3,2888.7,2930.8,#N/A N/A,#N/A N/A,#N/A N/A
26/01/2000,2930.8,3081.2,2930.8,3015,#N/A N/A,#N/A N/A,#N/A N/A
27/01/2000,3015,3129.4,3015,3063.2,#N/A N/A,#N/A N/A,#N/A N/A
28/01/2000,3063.2,3129.4,2978.9,3021.1,#N/A N/A,#N/A N/A,#N/A N/A
31/01/2000,3021.1,3081.2,2912.7,2966.9,#N/A N/A,#N/A N/A,#N/A N/A
01/02/2000,2966.9,2966.9,2780.3,2864.6,#N/A N/A,#N/A N/A,#N/A N/A
02/02/2000,2864.6,2888.7,2840.5,2864.6,#N/A N/A,#N/A N/A,#N/A N/A
03/02/2000,2864.6,2954.9,2864.6,2954.9,#N/A N/A,#N/A N/A,#N/A N/A
04/02/2000,2954.9,2978.9,2804.4,2822.5,#N/A N/A,#N/A N/A,#N/A N/A
07/02/2000,2822.5,2840.5,2563.7,2563.7,#N/A N/A,#N/A N/A,#N/A N/A
08/02/2000,2563.7,2672,2539.6,2611.8,#N/A N/A,#N/A N/A,#N/A N/A
09/02/2000,2611.8,2696.1,2587.8,2605.8,#N/A N/A,#N/A N/A,#N/A N/A
