,RIO LN Equity,,,,,,,GLEN LN Equity,,,,,,,AAL LN Equity,,,,,,,ANTO LN Equity,,,,,,,EVR LN Equity,,,,,,,BHP LN Equity,,,,,,
,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO
#NAME?,1197.851,1239.156,1197.851,1235.025,1086665,1404.1713,25.8085,#NAME?,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#NAME?,1067.256,1037.788,1054.443,132583,1118,15.3736,#NAME?,86.7,86.4,86.7,25000,20.1981,86.5105,#NAME?,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#NAME?,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
04/01/2000,1239.156,1243.287,1210.242,1217.677,3585947,1404.1713,25.8338,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1034.713,1044.194,1019.85,1024.975,1250111,1118,15.1718,87,87,86.5,86.7,145175,20.1981,87.8289,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
05/01/2000,1210.242,1218.503,1159.024,1163.981,3342568,1404.1713,24.782,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1000.632,1033.944,1000.632,1033.944,1554524,1118,15.3587,87,87,86.5,86.7,2249895,20.1981,88.1397,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
06/01/2000,1173.068,1218.503,1173.068,1205.286,9503906,1404.1713,25.677,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1024.975,1066.231,1024.975,1059.312,1279831,1118,15.7451,86.4,87,86.2,87,180700,20.1981,88.4985,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
07/01/2000,1214.373,1226.764,1185.459,1220.982,7508500,1404.1713,25.8881,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1076.224,1101.848,1076.224,1096.724,2354640,1118,16.2239,87,87,87,87,844800,20.1981,88.079,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
10/01/2000,1224.286,1226.764,1181.329,1193.72,6438418,1404.1713,25.3255,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1102.617,1114.661,1101.848,1108.255,4322817,1118,16.4045,87,87.7,87,87.5,1696985,20.1981,88.6393,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
11/01/2000,1189.59,1193.72,1141.676,1164.807,3136517,1404.1713,24.8207,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1101.848,1103.13,1082.63,1082.886,2034654,1118,16.0994,88,91,87.5,91,1089305,20.1981,92.5899,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
12/01/2000,1140.024,1154.067,1094.588,1097.066,3373883,1404.1713,23.3829,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1082.63,1082.63,1052.65,1070.587,2486648,1118,15.9204,91,92,91,91.5,535500,20.1981,93.1213,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
