,GBPUSD BGN Curncy,,,
,#NAME?,#NAME?,#NAME?,#NAME?
Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
#NAME?,1.6147,1.6396,1.6145,1.6362
04/01/2000,1.6358,1.6413,1.6316,1.636
05/01/2000,1.6373,1.6451,1.6352,1.6426
06/01/2000,1.6419,1.6509,1.6412,1.6474
07/01/2000,1.6477,1.6498,1.6361,1.6393
10/01/2000,1.6388,1.64,1.6335,1.6374
11/01/2000,1.6369,1.6491,1.635,1.6475
12/01/2000,1.6468,1.6508,1.6454,1.6466
13/01/2000,1.6471,1.6499,1.6412,1.6472
14/01/2000,1.6469,1.6479,1.6313,1.6313
17/01/2000,1.6346,1.6387,1.6299,1.6333
18/01/2000,1.6334,1.6397,1.6316,1.6379
19/01/2000,1.6386,1.6453,1.6366,1.645
20/01/2000,1.6443,1.657,1.6426,1.6537
21/01/2000,1.6543,1.6577,1.6484,1.6487
24/01/2000,1.6465,1.6557,1.6465,1.6531
25/01/2000,1.6538,1.6538,1.6434,1.6452
26/01/2000,1.6448,1.6468,1.6357,1.6403
27/01/2000,1.64,1.64,1.6346,1.6396
28/01/2000,1.6391,1.6392,1.6161,1.6201
31/01/2000,1.623,1.6259,1.6118,1.6162
01/02/2000,1.6157,1.6177,1.61,1.615
02/02/2000,1.6148,1.6155,1.6031,1.6088
03/02/2000,1.6085,1.6085,1.5942,1.5972
04/02/2000,1.5975,1.6022,1.5835,1.5918
07/02/2000,1.5917,1.5992,1.5888,1.598
08/02/2000,1.5977,1.6136,1.5974,1.6113
09/02/2000,1.6102,1.6173,1.6067,1.6169
10/02/2000,1.6163,1.6172,1.6053,1.6097
11/02/2000,1.6087,1.6104,1.5879,1.5936
14/02/2000,1.5927,1.5971,1.586,1.588
15/02/2000,1.5873,1.5976,1.5851,1.596
16/02/2000,1.596,1.61,1.5946,1.6077
17/02/2000,1.6072,1.6138,1.6027,1.609
18/02/2000,1.6083,1.6089,1.5955,1.6013
21/02/2000,1.5995,1.604,1.5978,1.6005
22/02/2000,1.6003,1.6193,1.6002,1.6126
23/02/2000,1.6136,1.6146,1.602,1.6039
24/02/2000,1.6042,1.606,1.5976,1.6003
25/02/2000,1.5991,1.6005,1.5887,1.5953
28/02/2000,1.5931,1.5974,1.5858,1.5958
29/02/2000,1.596,1.5995,1.5775,1.5792
01/03/2000,1.5792,1.5923,1.5756,1.5854
02/03/2000,1.5849,1.5866,1.576,1.5766
03/03/2000,1.5756,1.5845,1.5754,1.5778
06/03/2000,1.5803,1.5819,1.5714,1.5749
07/03/2000,1.5743,1.5821,1.5696,1.5804
08/03/2000,1.5813,1.5886,1.5745,1.5817
09/03/2000,1.5827,1.5848,1.5781,1.5827
10/03/2000,1.5832,1.5838,1.5754,1.5765
13/03/2000,1.5773,1.5829,1.5761,1.5792
14/03/2000,1.5786,1.5795,1.5682,1.5776
15/03/2000,1.5787,1.5787,1.5699,1.5732
16/03/2000,1.5733,1.5775,1.5692,1.5771
17/03/2000,1.5765,1.5766,1.5702,1.5748
20/03/2000,1.5753,1.5755,1.5652,1.5689
21/03/2000,1.5688,1.5774,1.5667,1.5717
22/03/2000,1.57,1.5801,1.562,1.5795
23/03/2000,1.5806,1.5901,1.5755,1.5867
24/03/2000,1.5874,1.5959,1.584,1.5941
27/03/2000,1.5926,1.6005,1.5841,1.5882
28/03/2000,1.5879,1.5904,1.5827,1.5893
29/03/2000,1.5923,1.5969,1.5817,1.5936
30/03/2000,1.5942,1.5977,1.5875,1.5948
31/03/2000,1.5947,1.5985,1.5903,1.5911
03/04/2000,1.5906,1.5993,1.5873,1.5964
04/04/2000,1.5959,1.6078,1.5926,1.5932
05/04/2000,1.5927,1.5979,1.5828,1.5847
06/04/2000,1.5847,1.589,1.5779,1.5815
07/04/2000,1.5801,1.5856,1.5771,1.5795
10/04/2000,1.5799,1.5856,1.5781,1.5855
11/04/2000,1.5852,1.5889,1.5831,1.5856
12/04/2000,1.5862,1.5893,1.5827,1.5886
13/04/2000,1.5887,1.5929,1.5859,1.5866
14/04/2000,1.5869,1.5914,1.5832,1.5868
17/04/2000,1.5892,1.591,1.58,1.5805
18/04/2000,1.5805,1.5842,1.5748,1.5771
19/04/2000,1.5769,1.5833,1.5763,1.582
20/04/2000,1.5825,1.5826,1.578,1.5793
21/04/2000,1.5798,1.5822,1.5771,1.5795
24/04/2000,1.5767,1.5818,1.5754,1.5785
25/04/2000,1.5803,1.5818,1.5734,1.5812
26/04/2000,1.5815,1.5823,1.5743,1.5756
27/04/2000,1.5765,1.5806,1.5715,1.572
28/04/2000,1.5741,1.5741,1.5506,1.5513
01/05/2000,1.5534,1.5571,1.552,1.5536
02/05/2000,1.5537,1.5666,1.5527,1.5604
03/05/2000,1.5608,1.565,1.5565,1.5611
04/05/2000,1.5616,1.5626,1.536,1.5412
05/05/2000,1.5426,1.5438,1.5252,1.5303
08/05/2000,1.5288,1.5357,1.5269,1.5332
09/05/2000,1.5328,1.5366,1.5292,1.5311
10/05/2000,1.5325,1.5337,1.5072,1.5118
11/05/2000,1.5097,1.5121,1.4933,1.5035
12/05/2000,1.5061,1.5202,1.5018,1.5202
15/05/2000,1.5224,1.523,1.5052,1.5054
16/05/2000,1.5009,1.5071,1.4923,1.4932
17/05/2000,1.4939,1.4983,1.489,1.4968
18/05/2000,1.4965,1.4966,1.4773,1.4835
