,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Tinto PLC (RIO LN) - BBG GAAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of GBP except Per Share,,FY 1994,FY 1995,FY 1996,FY 1997,FY 1998,FY 1999,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022 Est,FY 2023 Est
12 Months Ending,,12/31/1994,12/31/1995,12/31/1996,12/31/1997,12/31/1998,12/31/1999,12/31/2000,12/31/2001,12/31/2002,12/31/2003,12/31/2004,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
Revenue,SALES_REV_TURN,"4,546.0","4,881.0","4,530.0","4,539.0","4,291.0","4,443.0","5,198.0","5,662.0","5,626.4","5,648.5","7,071.2","10,474.9","12,196.7","14,849.7","29,618.6","26,808.6","35,726.7","37,758.2","32,145.8","32,726.5","28,954.8","22,796.0","25,022.6","31,091.0","30,391.7","33,831.6","34,783.1","46,166.5","41,987.8","37,093.7"
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"26,808.6","35,726.7","37,758.2","32,145.8","32,726.5","28,954.8","22,796.0","25,022.6","31,091.0","30,391.7","33,831.6","34,783.1","46,166.5",,
Gross Profit,GROSS_PROFIT,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"22,616.7","18,779.1"
  + Other Operating Income,IS_OTHER_OPER_INC,56.0,71.0,88.0,112.0,—,71.0,105.0,90.0,—,—,—,133.2,142.2,136.0,204.7,241.0,112.7,247.0,369.8,507.8,564.3,695.1,520.7,778.2,780.8,605.9,554.4,649.3,,
  - Operating Expenses,IS_OPERATING_EXPN,"3,699.0","3,668.0","3,842.0","3,716.0","3,567.0","3,497.0","3,876.0","4,209.0","5,072.7","4,732.8","5,594.6","6,977.4","7,684.5","10,798.8","21,575.9","22,159.6","23,144.6","29,362.9","33,731.6","28,437.0","22,606.1","20,952.9","20,538.3","20,938.1","17,865.1","25,450.7","22,215.9","25,136.2",,
    + Research & Development,IS_OPERATING_EXPENSES_R&D,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,123.7,121.1,92.3,155.2,147.7,68.0,68.1,44.4,45.0,33.8,35.3,35.1,47.3,,
    + Depreciation & Amortization,IS_DEPRECIATION_AND_AMORTIZATION,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"2,196.6","2,225.7","2,380.7","2,917.9","3,064.1","2,952.3","3,040.2","3,551.1","3,398.0","3,011.3","3,436.1","3,336.3","3,415.1",,
    + Other Operating Expense,OTHER_OPERATING_EXPENSES_RATIO,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"19,839.3","20,797.8","26,889.9","30,658.5","25,225.2","19,585.7","17,844.6","16,942.7","17,495.0","14,820.1","21,979.4","18,844.5","21,673.8",,
Operating Income (Loss),IS_OPER_INC,903.0,"1,284.0",776.0,935.0,724.0,"1,017.0","1,427.0","1,543.0",553.8,915.7,"1,476.6","3,630.7","4,654.5","4,186.9","8,247.4","4,890.0","12,694.8","8,642.3","-1,216.0","4,797.3","6,913.1","2,538.2","5,005.1","10,931.2","13,307.3","8,986.8","13,121.5","21,679.6","19,530.2","14,406.1"
  - Non-Operating (Income) Loss,NONOP_INCOME_LOSS,-241.0,-170.0,-332.0,-330.0,-74.8,-237.0,-230.0,334.0,-319.9,-366.0,-632.1,-393.5,-905.0,-731.0,"3,237.8",-148.1,-574.4,400.4,318.0,"2,555.6","1,110.5","3,013.4",306.7,977.1,-318.0,272.0,"1,121.2",-738.7,,
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,—,—,—,—,152.6,—,—,—,157.9,182.4,122.8,113.9,104.8,285.0,931.2,678.1,588.6,458.4,388.7,507.8,587.4,704.3,767.4,677.3,528.8,598.8,395.3,386.8,,
    + Interest Expense,IS_INT_EXPENSE,110.0,112.0,170.0,176.0,234.1,170.0,196.0,230.0,191.3,201.4,128.3,159.1,162.3,352.0,"1,042.5",755.1,694.2,530.2,461.9,560.2,626.3,738.3,833.3,783.7,715.5,833.9,505.2,433.3,,
    - Interest Income,IS_INT_INC,—,—,—,—,81.5,—,—,—,33.3,19.0,5.5,45.1,57.5,67.0,111.3,76.9,105.6,71.7,73.2,52.4,38.9,34.0,65.9,106.4,186.8,235.1,109.9,46.5,,
    + Foreign Exch (Gain) Loss,IS_FOREIGN_EXCH_LOSS,-6.0,-1.0,1.0,-6.0,—,10.0,-18.0,-40.0,—,—,-111.4,70.4,-25.0,-97.0,-110.8,-155.1,-345.2,43.7,-311.7,"2,393.8","1,232.6","2,487.8",-480.7,419.4,-486.0,-45.5,876.4,-583.1,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,—,-294.0,-354.0,-251.0,-298.7,-259.0,-268.0,-354.0,-470.5,-438.3,—,-427.1,-748.1,-792.0,-567.1,-503.8,-713.0,-439.1,-666.4,-446.4,-379.7,-236.3,-237.8,-263.3,-384.8,-235.9,-508.4,-757.6,,
    + Other Non-Op (Income) Loss,OTHER_NONOP_INCOME_LOSS,-345.0,13.0,-149.0,-249.0,71.2,-158.0,-140.0,498.0,-7.3,-110.2,-643.6,-150.8,-236.7,-127.0,"2,984.6",-167.3,-104.9,337.4,907.4,100.4,-329.9,57.6,257.8,143.7,24.0,-45.5,357.9,215.2,,
Pretax Income,PRETAX_INC,"1,144.0","1,454.0","1,108.0","1,265.0",798.8,"1,254.0","1,657.0","1,209.0",873.7,"1,281.7","2,108.7","4,024.2","5,559.5","4,917.9","5,009.6","5,038.0","13,269.2","8,241.8","-1,534.0","2,241.6","5,802.6",-475.2,"4,698.5","9,954.1","13,625.3","8,714.8","12,000.3","22,418.3","19,533.7","14,365.4"
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,305.0,489.0,351.0,408.0,376.5,338.0,541.0,329.0,471.8,347.1,337.9,998.3,"1,288.4","1,045.0","2,042.5","1,330.7","3,429.5","4,016.1",371.7,"1,551.6","1,854.6",649.9,"1,160.7","3,079.6","3,181.5","3,250.3","3,891.5","6,004.3",,
    + Current Income Tax,IS_CURRENT_INCOME_TAX_BENEFIT,—,—,—,—,—,—,—,—,—,—,370.6,942.8,—,"1,146.5","2,574.1","1,662.0","3,254.7","3,824.0","2,452.8","2,623.4","2,066.6",740.9,"1,566.6","2,539.8","2,794.5","3,476.8","4,030.3","5,921.4",,
    + Deferred Income Tax,IS_DEFERRED_INCOME_TAX_BENEFIT,—,—,—,—,—,—,—,—,—,—,-32.8,55.6,—,-101.5,-531.6,-331.4,174.8,192.1,"-2,081.1","-1,071.9",-212.0,-91.0,-405.9,539.8,387.0,-226.5,-138.8,82.9,,
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,839.0,965.0,757.0,857.0,422.3,916.0,"1,116.0",880.0,401.8,934.7,"1,770.8","3,025.9","4,271.2","3,872.9","2,967.1","3,707.4","9,839.7","4,225.7","-1,905.7",690.1,"3,948.0","-1,125.1","3,537.7","6,874.5","10,443.8","5,464.5","8,108.9","16,414.0","12,355.8","9,202.3"
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,-7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,—,0.0,0.0,—,0.0,—,451.4,287.8,62.8,6.2,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,287.8,62.8,6.2,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
    + XO & Accounting Changes,IS_EXTRAORD_ITEMS_&_ACCTG_CHNG,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,846.0,935.0,757.0,857.0,422.3,916.0,"1,116.0",880.0,401.8,934.7,"1,770.8","3,025.9","4,271.2","3,872.9","2,515.7","3,419.6","9,776.9","4,219.5","-1,910.1",690.1,"3,948.0","-1,125.1","3,537.7","6,874.5","10,443.8","5,464.5","8,108.9","16,414.0",,
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,71.0,120.0,56.0,113.0,0.0,124.0,121.0,129.0,-32.0,11.6,-28.9,155.8,232.9,217.0,509.3,296.8,556.9,585.7,0.6,"-1,653.9",-17.0,-558.3,117.8,69.1,215.3,-813.6,492.0,"1,076.8",,
"Net Income, GAAP",NET_INCOME,775.0,815.0,701.0,744.0,422.3,792.0,995.0,751.0,433.8,923.0,"1,799.7","2,891.0","4,038.2","3,655.9","2,006.4","3,122.8","9,220.0","3,633.8","-1,910.8","2,344.0","3,965.0",-566.8,"3,420.0","6,805.4","10,228.6","6,278.0","7,616.9","15,337.2","12,355.8","9,202.3"
