,SPX Index,,,,
,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
#NAME?,1469.25,1478,1438.36,1455.22,997918100
04/01/2000,1455.22,1455.22,1397.43,1399.42,1072385800
05/01/2000,1399.42,1413.27,1377.68,1402.11,1265124300
06/01/2000,1402.11,1411.9,1392.02,1403.45,1178617600
07/01/2000,1403.45,1441.47,1400.73,1441.47,1283843200
10/01/2000,1441.47,1464.36,1441.47,1457.6,1103377100
11/01/2000,1457.6,1458.66,1434.42,1438.56,1115788500
12/01/2000,1438.56,1442.6,1427.08,1432.25,1083235704
13/01/2000,1432.25,1454.2,1432.25,1449.68,1016493300
14/01/2000,1449.68,1473,1449.68,1465.15,1156615000
18/01/2000,1465.15,1465.15,1451.3,1455.14,1062394200
19/01/2000,1455.14,1461.39,1448.68,1455.9,1084377500
20/01/2000,1455.9,1465.71,1438.54,1445.57,1107100700
21/01/2000,1445.57,1453.18,1439.6,1441.36,1210503700
24/01/2000,1441.36,1454.09,1395.42,1401.53,1090130200
25/01/2000,1401.53,1414.26,1388.49,1410.03,1122595600
26/01/2000,1410.03,1412.73,1400.16,1404.09,1130685696
27/01/2000,1404.09,1418.86,1380.71,1398.56,1203231000
28/01/2000,1398.56,1398.56,1356.2,1360.16,1121161600
31/01/2000,1360.16,1394.5,1350.05,1394.46,1069206900
01/02/2000,1394.46,1412.49,1384.79,1409.28,1008222600
02/02/2000,1409.28,1420.61,1403.49,1409.12,1019686400
03/02/2000,1409.12,1425.78,1398.52,1424.97,1098503400
04/02/2000,1424.97,1435.91,1420.63,1424.37,1011296200
07/02/2000,1424.37,1427.15,1413.33,1424.24,874396100
08/02/2000,1424.24,1441.83,1424.24,1441.72,1073263300
09/02/2000,1441.72,1444.55,1411.65,1411.7,1029330700
10/02/2000,1411.7,1422.1,1406.43,1416.83,1024816700
11/02/2000,1416.83,1416.83,1378.89,1387.12,1004499800
14/02/2000,1387.12,1394.93,1380.53,1389.94,881354300
15/02/2000,1389.94,1407.72,1376.25,1402.05,1067247300
16/02/2000,1402.05,1404.55,1385.58,1387.67,978778500
17/02/2000,1387.67,1399.88,1380.07,1388.26,1064390800
18/02/2000,1388.26,1388.59,1345.32,1346.09,1088748300
22/02/2000,1346.09,1358.11,1331.88,1352.17,983904500
23/02/2000,1352.17,1370.11,1342.44,1360.69,1056872200
24/02/2000,1360.69,1364.8,1329.88,1353.43,1271777500
25/02/2000,1353.43,1362.14,1329.15,1333.36,1094643400
28/02/2000,1333.36,1360.82,1325.02,1348.05,1122591700
29/02/2000,1348.05,1369.63,1348.05,1366.42,1153936300
01/03/2000,1366.42,1383.46,1366.42,1379.19,1285072300
02/03/2000,1379.19,1386.56,1370.35,1381.76,1244967800
03/03/2000,1381.76,1410.88,1381.76,1409.17,1183839900
06/03/2000,1409.17,1409.74,1384.75,1391.28,1023066600
07/03/2000,1391.28,1399.21,1349.99,1355.62,1282190896
08/03/2000,1355.62,1373.79,1346.62,1366.7,1180794000
09/03/2000,1366.7,1401.82,1357.59,1401.69,1177993196
10/03/2000,1401.69,1413.46,1392.07,1395.07,1197595600
13/03/2000,1395.07,1398.39,1364.84,1383.62,1070158204
14/03/2000,1383.62,1395.38,1359.15,1359.15,1180388800
15/03/2000,1359.15,1397.99,1356.99,1392.15,1378660400
16/03/2000,1392.15,1458.47,1392.15,1458.47,1512533900
17/03/2000,1458.47,1477.33,1453.27,1464.47,1349633800
20/03/2000,1464.47,1470.3,1448.43,1456.63,953998000
21/03/2000,1456.63,1493.92,1446.06,1493.87,1104369500
22/03/2000,1493.87,1505.08,1487.33,1500.64,1101595100
23/03/2000,1500.64,1532.5,1492.39,1527.35,1190043208
24/03/2000,1527.35,1552.87,1516.83,1527.46,1116248300
27/03/2000,1527.46,1534.63,1518.46,1523.86,941935800
28/03/2000,1523.86,1527.36,1507.09,1507.73,988077700
29/03/2000,1507.73,1521.45,1497.45,1508.52,1102698300
30/03/2000,1508.52,1517.38,1474.63,1487.92,1306085700
31/03/2000,1487.92,1519.81,1484.38,1498.58,1220339800
03/04/2000,1498.58,1507.19,1486.96,1505.97,1244397596
04/04/2000,1505.98,1526.45,1417.22,1494.73,1860764596
05/04/2000,1494.73,1506.55,1478.05,1487.37,1183471200
06/04/2000,1487.37,1511.76,1487.37,1501.34,1105259300
07/04/2000,1501.34,1518.68,1501.34,1516.35,947636400
10/04/2000,1516.35,1527.19,1503.35,1504.46,951731000
11/04/2000,1504.46,1512.8,1486.78,1500.59,1086275200
12/04/2000,1500.59,1509.1,1466.15,1467.17,1404679692
13/04/2000,1467.17,1477.52,1439.34,1440.51,1258833796
14/04/2000,1440.51,1440.51,1339.4,1356.56,1582142800
17/04/2000,1356.56,1401.53,1346.5,1401.44,1503425704
18/04/2000,1401.44,1441.61,1397.81,1441.61,1251266204
19/04/2000,1441.61,1447.69,1424.26,1427.47,1093029300
20/04/2000,1427.47,1435.49,1422.08,1434.54,930063900
24/04/2000,1434.54,1434.54,1407.13,1429.86,1134024500
25/04/2000,1429.86,1477.67,1429.86,1477.44,1167162214
26/04/2000,1477.44,1482.94,1456.98,1460.99,1080577900
27/04/2000,1460.99,1469.21,1434.81,1464.92,1115396700
28/04/2000,1464.92,1473.62,1448.15,1452.43,1007448700
01/05/2000,1452.43,1481.51,1452.43,1468.25,965753400
02/05/2000,1468.25,1468.25,1445.22,1446.29,1023392300
03/05/2000,1446.29,1446.29,1398.36,1415.1,1126842204
04/05/2000,1415.1,1420.99,1404.94,1409.57,946567700
05/05/2000,1409.57,1436.03,1405.08,1432.63,842072000
08/05/2000,1432.63,1432.63,1417.05,1424.17,839653200
09/05/2000,1424.17,1430.28,1401.85,1412.14,969121496
10/05/2000,1412.14,1412.14,1375.14,1383.05,1185917804
11/05/2000,1383.05,1410.26,1383.05,1407.81,1071318900
12/05/2000,1407.81,1430.13,1407.81,1420.96,914773000
15/05/2000,1420.96,1452.39,1416.54,1452.36,887415600
16/05/2000,1452.36,1470.4,1450.76,1466.04,1021072000
17/05/2000,1466.04,1466.04,1441.67,1447.8,881537800
18/05/2000,1447.8,1458.04,1436.59,1437.21,894029004
19/05/2000,1437.21,1437.21,1401.74,1406.95,1018899400
22/05/2000,1406.95,1410.55,1368.73,1400.72,1076721400
23/05/2000,1400.72,1404.04,1373.6,1373.86,979470404
24/05/2000,1373.86,1401.75,1361.09,1399.05,1494062808
25/05/2000,1399.05,1411.65,1373.93,1381.52,1157670004
26/05/2000,1381.52,1391.42,1369.75,1378.02,789171300
30/05/2000,1378.02,1422.45,1378.02,1422.45,989120200
31/05/2000,1422.44,1434.49,1415.5,1420.6,1075890800
01/06/2000,1420.6,1448.81,1420.6,1448.81,1068486400
02/06/2000,1448.81,1483.23,1448.81,1477.26,1234590700
05/06/2000,1477.26,1477.28,1464.68,1467.63,898701400
06/06/2000,1467.63,1471.36,1454.74,1457.84,1001251300
07/06/2000,1457.84,1474.64,1455.06,1471.36,870969400
08/06/2000,1471.36,1475.65,1456.49,1461.67,944921600
09/06/2000,1461.67,1472.67,1454.96,1456.95,825225900
