,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglo American PLC (AAL LN) - By Geography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of GBP except Per Share,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,
12 Months Ending,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,
Revenue,,"16,199.2",100.0%,"13,568.1",100.0%,"12,734.7",100.0%,"14,361.2",100.0%,"13,369.4",100.0%,"18,105.9",100.0%,"19,073.4",100.0%,"22,185.1",100.0%,?,,"16,446.2",100.0%,"15,055.8",100.0%,"17,142.0",100.0%,"22,252.3",100.0%,"22,647.1",100.0%,"24,943.6",100.0%,"20,960.6",100.0%,"31,452.4",100.0%
  China,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"3,543.7",20.7%,"5,010.5",22.5%,"5,199.8",23.0%,"7,422.3",29.8%,"7,166.2",34.2%,"8,178.3",26.0%
  Other Asia,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"2,824.4",16.5%,"4,282.7",19.2%,"4,359.8",19.3%,"4,745.8",19.0%,"3,394.8",16.2%,"5,481.5",17.4%
  Other Europe,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"2,351.8",13.7%,"2,709.9",12.2%,"2,943.0",13.0%,"2,966.6",11.9%,"2,480.2",11.8%,"4,632.3",14.7%
  Japan,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"1,578.5",9.2%,"2,038.8",9.2%,"2,130.0",9.4%,"2,440.7",9.8%,"3,069.7",14.6%,"4,485.4",14.3%
  United Kingdom,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,993.3,5.8%,"1,220.2",5.5%,"1,416.8",6.3%,"1,864.6",7.5%,958.2,4.6%,"2,286.0",7.3%
  India,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"2,041.5",11.9%,"2,824.1",12.7%,"2,847.0",12.6%,"2,271.4",9.1%,"1,407.4",6.7%,"1,653.4",5.3%
  North America,,"1,508.0",9.3%,986.5,7.3%,843.0,6.6%,805.6,5.6%,326.9,2.4%,439.7,2.4%,383.6,2.0%,352.7,1.6%,?,,739.9,4.5%,559.6,3.7%,423.7,2.5%,679.6,3.1%,535.5,2.4%,616.0,2.5%,616.0,2.9%,"1,361.1",4.3%
  Other Africa,,277.9,1.7%,149.8,1.1%,89.0,0.7%,52.9,0.4%,986.5,7.4%,"1,508.2",8.3%,"1,723.3",9.0%,"2,054.6",9.3%,?,,"1,010.2",6.1%,642.7,4.3%,"1,188.1",6.9%,"1,327.4",6.0%,"1,362.0",6.0%,956.2,3.8%,693.9,3.3%,"1,209.9",3.8%
