,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta PLC (ANTO LN) - By Geography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of GBP except Per Share,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,
12 Months Ending,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,
Revenue,,"1,068.8",100.0%,"2,101.1",100.0%,"1,913.3",100.0%,"2,058.5",100.0%,"2,003.7",100.0%,"3,080.8",100.0%,"3,933.1",100.0%,"4,416.6",100.0%,"4,023.9",100.0%,"3,207.1",100.0%,"2,111.3",100.0%,"2,682.7",100.0%,"3,688.8",100.0%,"3,549.8",100.0%,"3,891.0",100.0%,"3,999.3",100.0%,"5,431.4",100.0%
  Asia,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"1,568.6",74.3%,"2,082.6",77.6%,"2,261.0",61.3%,"2,323.1",65.4%,"2,708.8",69.6%,"2,769.2",69.2%,"3,331.7",61.3%
    Japan,,254.5,23.8%,547.4,26.1%,500.3,26.1%,386.2,18.8%,503.1,25.1%,"1,025.2",33.3%,"1,415.2",36.0%,"1,508.5",34.2%,"1,269.2",31.5%,"1,193.9",37.2%,750.7,35.6%,"1,098.9",41.0%,"1,319.0",35.8%,"1,059.8",29.9%,"1,223.9",31.5%,"1,271.8",31.8%,"1,339.5",24.7%
    China,,?,,172.4,8.2%,208.4,10.9%,192.9,9.4%,251.8,12.6%,568.6,18.5%,714.4,18.2%,952.2,21.6%,910.7,22.6%,761.2,23.7%,408.3,19.3%,571.8,21.3%,376.5,10.2%,360.9,10.2%,405.4,10.4%,414.3,10.4%,899.3,16.6%
    Singapore,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,475.4,13.4%,542.5,13.9%,520.4,13.0%,527.9,9.7%
    South Korea,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,241.5,6.8%,290.9,7.5%,275.5,6.9%,234.6,4.3%
    Rest of Asia,,141.6,13.2%,115.9,5.5%,132.8,6.9%,143.0,6.9%,194.5,9.7%,396.1,12.9%,574.4,14.6%,763.2,17.3%,597.8,14.9%,501.8,15.6%,409.6,19.4%,411.9,15.4%,565.5,15.3%,97.7,2.8%,112.2,2.9%,103.3,2.6%,172.5,3.2%
    Hong Kong,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,87.8,2.5%,134.0,3.4%,183.8,4.6%,157.9,2.9%
  Europe,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,317.0,15.0%,391.9,14.6%,"1,008.8",27.3%,835.7,23.5%,870.3,22.4%,744.5,18.6%,"1,253.9",23.1%
