,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evraz PLC (EVR LN) - By Geography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of GBP except Per Share,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,
12 Months Ending,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,
Revenue,,"11,123.9",100.0%,"6,263.6",100.0%,"8,673.5",100.0%,"10,229.0",100.0%,"9,292.5",100.0%,"9,216.6",100.0%,"7,934.3",100.0%,"5,628.8",100.0%,"5,489.6",100.0%,"7,727.3",100.0%,"9,698.3",100.0%,"9,330.8",100.0%,"7,605.2",100.0%,"9,805.5",100.0%
  CIS,,"4,811.4",43.3%,"2,174.8",34.7%,"3,564.8",41.1%,"4,876.9",47.7%,"4,535.2",48.8%,"4,675.8",50.7%,"3,769.4",47.5%,"2,466.2",43.8%,"2,748.1",50.1%,"3,766.2",48.7%,"4,125.0",42.5%,"4,105.4",44.0%,"3,357.4",44.1%,"4,693.4",47.9%
    Russia,,"4,134.6",37.2%,"1,890.9",30.2%,"3,038.4",35.0%,"4,136.5",40.4%,"3,906.7",42.0%,"3,924.3",42.6%,"3,206.9",40.4%,"2,031.6",36.1%,"2,281.5",41.6%,"3,304.8",42.8%,"3,423.0",35.3%,"3,427.4",36.7%,"2,902.0",38.2%,"4,014.3",40.9%
    CIS (Excluding Russia),,?,,?,,?,,?,,?,,?,,?,,502.0,8.9%,539.3,9.8%,461.4,6.0%,726.0,7.5%,678.0,7.3%,455.3,6.0%,679.1,6.9%
      Kazakhstan,,178.5,1.6%,134.6,2.1%,221.5,2.6%,250.1,2.4%,224.0,2.4%,291.6,3.2%,233.3,2.9%,155.1,2.8%,136.3,2.5%,28.0,0.4%,177.8,1.8%,232.8,2.5%,217.5,2.9%,355.5,3.6%
      Ukraine,,498.3,4.5%,149.3,2.4%,305.0,3.5%,388.6,3.8%,298.5,3.2%,315.9,3.4%,202.3,2.5%,158.4,2.8%,219.3,4.0%,285.8,3.7%,360.0,3.7%,228.1,2.4%,62.4,0.8%,181.8,1.9%
      Kyrgyzstan,,?,,?,,?,,?,,?,,?,,?,,5.2,0.1%,8.9,0.2%,28.0,0.4%,37.5,0.4%,38.4,0.4%,35.9,0.5%,45.8,0.5%
      Belarus,,?,,?,,?,,?,,?,,?,,?,,39.3,0.7%,33.3,0.6%,48.2,0.6%,54.0,0.6%,55.6,0.6%,45.2,0.6%,34.2,0.3%
      Uzbekistan,,?,,?,,?,,?,,?,,?,,?,,22.9,0.4%,30.4,0.6%,28.7,0.4%,24.0,0.2%,63.5,0.7%,49.1,0.6%,31.3,0.3%
