,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glencore PLC (GLEN LN) - By Geography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of GBP except Per Share,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,
12 Months Ending,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,
Revenue,,"71,170.1",100.0%,"83,094.1",100.0%,"68,176.2",100.0%,"93,882.5",100.0%,"116,106.9",100.0%,"135,315.2",100.0%,"148,819.7",100.0%,"134,296.9",100.0%,"96,443.1",100.0%,"113,293.4",100.0%,"159,591.9",100.0%,"164,816.6",100.0%,"168,598.6",100.0%,"110,980.6",100.0%,"148,145.0",100.0%
  Asia,,?,,?,,"19,922.0",29.2%,"27,728.7",29.5%,"29,788.3",25.7%,"27,938.1",20.6%,"43,398.7",29.2%,"52,619.1",39.2%,"36,573.5",37.9%,"45,229.1",39.9%,"64,227.9",40.2%,"70,982.7",43.1%,"65,043.9",38.6%,"47,062.5",42.4%,"62,948.4",42.5%
  Europe,,"28,561.4",40.1%,"35,309.4",42.5%,"24,130.6",35.4%,"30,904.3",32.9%,"43,861.9",37.8%,"68,721.5",50.8%,"50,385.1",33.9%,"42,884.9",31.9%,"30,603.7",31.7%,"40,755.8",36.0%,"56,278.4",35.3%,"56,993.6",34.6%,"59,370.2",35.2%,"33,279.0",30.0%,"46,740.2",31.6%
  Americas,,"21,495.1",30.2%,"22,223.8",26.7%,"17,778.0",26.1%,"25,373.5",27.0%,"28,588.9",24.6%,"26,689.3",19.7%,"34,967.5",23.5%,"28,717.9",21.4%,"19,257.1",20.0%,"16,593.1",14.6%,"26,353.2",16.5%,"27,704.4",16.8%,"29,872.8",17.7%,"20,086.6",18.1%,"27,578.5",18.6%
  Africa,,?,,?,,"5,825.8",8.5%,"9,049.7",9.6%,"12,810.0",11.0%,"10,670.7",7.9%,"16,414.1",11.0%,"4,985.0",3.7%,"3,157.4",3.3%,"2,914.0",2.6%,"3,728.1",2.3%,"3,930.0",2.4%,"6,437.9",3.8%,"5,224.8",4.7%,"7,264.3",4.9%
  Oceania,,?,,?,,519.8,0.8%,826.3,0.9%,"1,057.8",0.9%,"1,295.5",1.0%,"3,654.4",2.5%,"5,090.1",3.8%,"6,851.4",7.1%,"7,801.4",6.9%,"9,004.2",5.6%,"5,205.8",3.2%,"7,873.8",4.7%,"5,327.7",4.8%,"3,613.6",2.4%
  Asia / Africa / Middle East / Australia,,"21,113.6",29.7%,"25,560.9",30.8%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
Revenue Including Intersegment Revenue,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"131,110.9",100.0%,"171,943.6",100.0%,"184,188.5",100.0%,"185,098.6",100.0%,"129,110.1",100.0%,?,
  Marketing Activities,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"108,134.9",82.5%,"141,223.9",82.1%,"152,006.5",82.5%,"152,199.6",82.2%,"96,789.3",75.0%,?,
