,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ticker,Field,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,Q3 2007,Q2 2007,Q1 2007,Q4 2006,Q3 2006,Q2 2006,Q1 2006,Q4 2005,Q3 2005,Q2 2005,Q1 2005,Q4 2004,Q3 2004,Q2 2004,Q1 2004,Q4 2003,Q3 2003,Q2 2003,Q1 2003,Q4 2002,Q3 2002,Q2 2002,Q1 2002,Q4 2001,Q3 2001,Q2 2001,Q1 2001,Q4 2000,Q3 2000,Q2 2000,Q1 2000,,,
Real GDP by Expenditure,JGDPAGDP,PR005,4.6,-2.8,2.4,-2.2,7.7,23,-28.2,1.7,-10.5,0,2.1,1.9,-0.8,-2.9,1.6,0.5,0.4,3.1,1.7,3.2,0.6,0.7,-0.6,2.9,-0.6,0.4,0.6,6.3,1.9,0.4,-7.1,3.3,-0.5,3.9,3.7,5.6,-0.3,-1.5,-3.5,5.6,-0.6,10.1,-3.4,-4.2,-3.2,7.5,4.9,4.3,5,-0.2,8.1,-17.9,-9.5,-4.9,-2.3,1.4,1.7,-2.2,0.2,2.7,5.5,-0.8,0.7,0.6,0.7,4.1,3.2,2.1,-0.8,2.5,0.1,3,4.4,1.2,2.8,0.3,1.1,1.3,3.3,0.7,-1.4,-4.3,-3,3,3.9,0.1,1.9,7,,,
