,Date,EBITDA,CL1_COMB_Comodity_PX_LAST,LMAHDS03_LME_Comdty_PX_LAST,LMPBDS03_LME_Comdty_PX_LAST,LMSNDS03_LME_Comdty_PX_LAST,LMCADS03_LME_Comdty_PX_LAST,LMNIDS03_LME_Comdty_PX_LAST,LMCODY_LME_Comdty_PX_LAST,LTBMPRIN_Index_PX_LAST,Inflation Rate,Unemployment Rate,SPX500 Index PX_LAST,SPX500 Index PX_VOLUME,F3METL_PX_LAST,F3METL_PX_VOLUME,GUKG10 Index PX_LAST,BCOMIN_PX_LAST,UK_GDP growth,China_GDP growth,Japan_GDP growth,USA_GDP growth,Shipping costs_Shipping costs
0,2010-06-30,1089.0,75.63,1977.5,1750.0,17425.0,4354.07324,13195.88281,38525.0,85.02,3.2,7.93,1030.71,1179512565.0,5117.25,2417456.0,3.355,149.5011,1.1,2.4,4.9,3.9,998.2346
1,2010-12-31,1062.0,91.38,2470.0,2550.0,26900.0,6157.39844,15874.54297,38625.0,86.86,3.7,7.9,1257.64,432436964.0,8436.75,135828.0,3.396,202.1788,0.1,2.4,-3.2,2.1,998.2346
2,2011-06-30,1580.0,95.42,2532.0,2684.0,26050.0,5869.17285,14579.57324,35000.0,85.38,4.2,7.8,1320.64,783904500.0,7767.42,1447377.0,3.38,195.1089,0.1,2.4,-3.4,2.7,998.2346
3,2012-01-02,1164.0,98.83,2020.0,2035.0,19200.0,4900.38037,12063.96289,30000.0,86.6,4.2,8.43,1257.61,431155077.0,3883.32,682107.0,1.978,153.1071,0.7,1.9,5.6,3.3,1079.5245
4,2012-07-02,1079.0,84.96,1911.0,1861.0,18775.0,4900.52295,10668.28223,28000.0,92.62,2.4,8.1,1365.51,550391112.0,2859.79,4370548.0,1.699,146.6806,1.2,1.8,-1.5,0.7,1562.2676
5,2012-12-31,479.0,91.82,2073.0,2330.0,23400.0,4883.01953,10503.63281,25400.0,92.95,2.7,7.83,1426.19,601105595.0,2741.8,441603.0,1.828,154.0011,-0.2,2.0,-0.3,0.4,1255.8434
6,2013-07-01,922.0,96.56,1773.0,2051.0,19675.0,4445.17627,9028.64648,32038.0,94.94,2.9,7.77,1614.96,526115144.0,1204.26,5841194.0,2.417,130.6892,0.8,2.1,3.9,3.2,1296.911
7,2013-12-31,289.0,98.42,1800.25,2219.0,22350.0,4442.83496,8390.67969,28950.0,96.59,2.0,7.27,1848.36,399844767.0,1409.3,668766.0,3.022,132.9276,0.5,1.6,-0.5,2.9,1082.893
8,2014-06-30,912.0,105.37,1891.0,2173.0,22545.0,4101.85938,11133.20117,30499.0,100.43,1.9,6.43,1960.23,543446734.0,1108.75,4361619.0,2.67,137.6371,0.8,1.8,-7.1,5.2,1187.4391
9,2014-12-31,825.0,53.27,1852.5,1858.0,19400.0,4043.38623,9723.38086,31370.0,91.52,0.5,5.87,2058.9,422132545.0,1521.63,735283.0,1.756,123.7539,0.6,1.7,1.9,1.8,1157.9863
