,Date,EBITDA,CL1_COMB_Comodity_PX_LAST,LMAHDS03_LME_Comdty_PX_LAST,LMPBDS03_LME_Comdty_PX_LAST,LMSNDS03_LME_Comdty_PX_LAST,LMCADS03_LME_Comdty_PX_LAST,LMNIDS03_LME_Comdty_PX_LAST,LMCODY_LME_Comdty_PX_LAST,LTBMPRIN_Index_PX_LAST,Inflation Rate,Unemployment Rate,SPX500 Index PX_LAST,SPX500 Index PX_VOLUME,F3METL_PX_LAST,F3METL_PX_VOLUME,GUKG10 Index PX_LAST,BCOMIN_PX_LAST,UK_GDP growth,China_GDP growth,Japan_GDP growth,USA_GDP growth,Shipping costs_Shipping costs
0,2007-07-02,2737.0,70.68,2725.0,2660.0,13900.0,3766.62842,18035.97266,39125.0,100.0,2.4,5.43,1519.43,1090158024.0,0.0,9594662.0,5.42,235.3908,0.7,2.4,-2.2,2.4,998.2346
1,2007-12-31,2790.0,95.98,2409.0,2550.0,16425.0,3366.62134,13264.74023,39125.0,100.0,2.1,5.2,1468.36,848893338.0,7445.2,1514049.0,4.508,190.1941,0.4,2.4,1.7,2.5,998.2346
2,2008-06-30,2751.0,140.0,3114.0,1790.0,23450.0,4274.66357,11025.71875,39125.0,100.0,3.8,5.3,1280.0,1354262493.0,8751.0,7350599.0,5.13,216.2556,-0.5,2.4,-2.3,2.3,998.2346
3,2008-12-31,2317.0,44.6,1540.0,999.0,10700.0,2106.34644,8027.44434,39125.0,100.0,3.1,6.2,903.25,1016421975.0,1201.02,306519.0,3.02,96.9222,-2.0,2.4,-9.5,-8.5,998.2346
4,2009-06-30,1301.0,69.89,1630.0,1690.0,14150.0,3016.88525,9338.55664,39125.0,103.55,1.8,7.57,919.32,1138134185.0,3888.21,1308883.0,3.69,124.0901,-0.3,2.4,8.1,-0.7,998.2346
5,2009-12-31,1713.0,79.36,2230.0,2432.0,16950.0,4567.12891,11472.00879,39125.0,95.24,2.9,7.83,1115.1,552900746.0,4892.32,464931.0,4.015,174.165,0.3,2.4,5.0,4.3,998.2346
6,2010-06-30,1935.0,75.63,1977.5,1750.0,17425.0,4354.07324,13195.88281,38525.0,85.02,3.2,7.93,1030.71,1179512565.0,5117.25,2417456.0,3.355,149.5011,1.1,2.4,4.9,3.9,998.2346
7,2010-12-31,2539.0,91.38,2470.0,2550.0,26900.0,6157.39844,15874.54297,38625.0,86.86,3.7,7.9,1257.64,432436964.0,8436.75,135828.0,3.396,202.1788,0.1,2.4,-3.2,2.1,998.2346
8,2011-06-30,2794.0,95.42,2532.0,2684.0,26050.0,5869.17285,14579.57324,35000.0,85.38,4.2,7.8,1320.64,783904500.0,7767.42,1447377.0,3.38,195.1089,0.1,2.4,-3.4,2.7,998.2346
9,2012-01-02,1629.0,98.83,2020.0,2035.0,19200.0,4900.38037,12063.96289,30000.0,86.6,4.2,8.43,1257.61,431155077.0,3883.32,682107.0,1.978,153.1071,0.7,1.9,5.6,3.3,1079.5245
